"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16735807"	-1.4225264955761	6.76607709044585	-6.08119745707484	5.58490754872863e-08	1.00125703007323e-05	8.15844811027308	NA
"16890326"	-0.585143314018353	7.0004822078211	-6.06510430081697	5.96404866154967e-08	1.06096059643358e-05	8.09587199047104	"LOC101928020"
"16863287"	0.956465810052682	7.16882877575826	6.06323611507688	6.00967864975135e-08	1.06096059643358e-05	8.08861087033617	"FOSB"
"16839443"	-0.624806601824956	8.0013373439588	-6.05481088191538	6.21979114728718e-08	1.08973568078266e-05	8.05587231643905	NA
"16679499"	-0.397581981966031	9.21475260147702	-6.04495638705912	6.47478183779813e-08	1.12588180122374e-05	8.01759664885131	"ZBTB18"
"16658619"	-0.804203984942019	5.77879743738189	-6.02761123219441	6.9489573141962e-08	1.1993174313837e-05	7.95027065731713	"ENO1-AS1"
"16716499"	-0.736339970240628	6.09471269186029	-6.00345963281402	7.66689019496364e-08	1.3134234780661e-05	7.85661970675451	"NUDT9P1"
"17043177"	-0.629167915656949	7.40959276967546	-5.99307444221251	7.99771055176847e-08	1.36002244066727e-05	7.81638401118149	"SNORD13P2"
"16872089"	0.317997729580872	7.66474367317809	5.97441679807995	8.62788252434997e-08	1.45647473825286e-05	7.74415037086992	"SIRT2"
"16822892"	1.31045351832558	8.01114456668076	5.96062376334389	9.12507362476493e-08	1.52924331681115e-05	7.69079381566561	NA
"16839524"	0.480217036949725	6.70360835207741	5.9581121053732	9.21861080068915e-08	1.53176130670045e-05	7.68108181356644	NA
"16674080"	-0.720247663598035	6.24137875103905	-5.95667479160981	9.27256379720943e-08	1.53176130670045e-05	7.67552461187989	"GPR52"
"17087395"	-0.738190059262045	5.09217624248593	-5.94789621657628	9.60892876624863e-08	1.57373916807262e-05	7.64159216040179	NA
"16949611"	1.03866987224282	7.85173297905962	5.94651922389225	9.66277346245999e-08	1.57373916807262e-05	7.63627095720172	"IL1RAP"
"16818165"	0.393842663301635	8.72145989017595	5.92598403005238	1.05020573513951e-07	1.69846909346653e-05	7.55696030623685	"BCKDK"
"16741961"	0.509148765285842	5.42195664065653	5.91379495684923	1.10338874347222e-07	1.77208829654737e-05	7.50992393047339	NA
"17021824"	-0.441400586689937	5.38857382975714	-5.9036040647777	1.14988921066851e-07	1.83403363966418e-05	7.47062143037312	NA
"16661527"	0.451482900939768	8.2805907738887	5.90017010842934	1.16599018339812e-07	1.84697636790741e-05	7.45738269580465	"XKR8"
